order,k,avg_perplexity_tolkien,avg_perplexity_doyle,tolkien_accuracy,doyle_accuracy,overall_accuracy
2,0.001,6.0125,6.132,0.9111,0.865,0.8866
2,0.01,5.7393,5.8711,0.9178,0.8767,0.8959
2,0.1,6.0111,6.176,0.9422,0.8806,0.9095
2,1.0,6.7991,6.9629,0.9622,0.8513,0.9032
2,10.0,7.6649,7.7716,0.9756,0.7515,0.8564
3,0.001,7.1396,7.2936,0.8756,0.7945,0.8325
3,0.01,7.1439,7.2939,0.9089,0.8121,0.8574
3,0.1,7.5083,7.6204,0.9133,0.8278,0.8678
3,1.0,7.9866,8.0449,0.9289,0.8317,0.8772
3,10.0,8.3273,8.3438,0.9289,0.7828,0.8512
